Waiting for data. Press Ctrl+C to end.
Source  Event                  Ch  Data
  0:1   Port subscribed            129:0 -> 128:0
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 115, velocity 106
129:0   Note on                 4, note 108, velocity 106
129:0   Note off                6, note 91, velocity 112
129:0   Note off                6, note 79, velocity 112
129:0   Note on                 6, note 88, velocity 112
129:0   Note on                 6, note 76, velocity 112
129:0   Note off                1, note 103, velocity 127
129:0   Note off                1, note 91, velocity 127
129:0   Note off                1, note 79, velocity 127
129:0   Note on                 1, note 100, velocity 68
129:0   Note on                 1, note 88, velocity 68
129:0   Note on                 1, note 76, velocity 68
129:0   Note off                5, note 103, velocity 127
129:0   Note off                5, note 91, velocity 127
129:0   Note on                 5, note 100, velocity 68
129:0   Note on                 5, note 88, velocity 68
129:0   Note off                0, note 72, velocity 106
129:0   Note on                 0, note 77, velocity 88
129:0   Note off                4, note 108, velocity 106
129:0   Note on                 4, note 113, velocity 106
129:0   Note off                0, note 77, velocity 106
129:0   Note on                 0, note 81, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 113, velocity 106
129:0   Note on                 4, note 117, velocity 106
129:0   Note off                0, note 81, velocity 106
129:0   Note on                 0, note 76, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 117, velocity 106
129:0   Note on                 4, note 112, velocity 106
129:0   Note off                6, note 88, velocity 112
129:0   Note off                6, note 76, velocity 112
129:0   Note on                 6, note 87, velocity 112
129:0   Note on                 6, note 75, velocity 112
129:0   Note off                1, note 100, velocity 127
129:0   Note off                1, note 88, velocity 127
129:0   Note off                1, note 76, velocity 127
129:0   Note on                 1, note 99, velocity 68
129:0   Note on                 1, note 87, velocity 68
129:0   Note on                 1, note 75, velocity 68
129:0   Note off                5, note 100, velocity 127
129:0   Note off                5, note 88, velocity 127
129:0   Note on                 5, note 99, velocity 68
129:0   Note on                 5, note 87, velocity 68
129:0   Note off                0, note 76, velocity 106
129:0   Note on                 0, note 81, velocity 88
129:0   Note off                4, note 112, velocity 106
129:0   Note on                 4, note 117, velocity 106
129:0   Note off                0, note 81, velocity 106
129:0   Note on                 0, note 85, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 117, velocity 106
129:0   Note on                 4, note 121, velocity 106
129:0   Note off                0, note 85, velocity 106
129:0   Note on                 0, note 79, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 121, velocity 106
129:0   Note on                 4, note 115, velocity 106
129:0   Note off                6, note 87, velocity 112
129:0   Note off                6, note 75, velocity 112
129:0   Note on                 6, note 81, velocity 112
129:0   Note on                 6, note 69, velocity 112
129:0   Note off                1, note 99, velocity 127
129:0   Note off                1, note 87, velocity 127
129:0   Note off                1, note 75, velocity 127
129:0   Note on                 1, note 93, velocity 68
129:0   Note on                 1, note 81, velocity 68
129:0   Note on                 1, note 69, velocity 68
129:0   Note off                5, note 99, velocity 127
129:0   Note off                5, note 87, velocity 127
129:0   Note on                 5, note 93, velocity 68
129:0   Note on                 5, note 81, velocity 68
129:0   Note off                0, note 79, velocity 106
129:0   Note on                 0, note 80, velocity 88
129:0   Note off                4, note 115, velocity 106
129:0   Note on                 4, note 115, velocity 106
129:0   Note off                0, note 80, velocity 106
129:0   Note on                 0, note 81, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 115, velocity 106
129:0   Note on                 4, note 117, velocity 106
129:0   Note off                0, note 81, velocity 106
129:0   Note on                 0, note 70, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 117, velocity 106
129:0   Note on                 4, note 106, velocity 106
129:0   Note off                6, note 81, velocity 112
129:0   Note off                6, note 69, velocity 112
129:0   Note on                 6, note 80, velocity 112
129:0   Note on                 6, note 68, velocity 112
129:0   Note off                1, note 93, velocity 127
129:0   Note off                1, note 81, velocity 127
129:0   Note off                1, note 69, velocity 127
129:0   Note on                 1, note 92, velocity 68
129:0   Note on                 1, note 80, velocity 68
129:0   Note on                 1, note 68, velocity 68
129:0   Note off                5, note 93, velocity 127
129:0   Note off                5, note 81, velocity 127
129:0   Note on                 5, note 92, velocity 68
129:0   Note on                 5, note 80, velocity 68
129:0   Note off                0, note 70, velocity 106
129:0   Note on                 0, note 78, velocity 88
129:0   Note off                4, note 106, velocity 106
129:0   Note on                 4, note 114, velocity 106
129:0   Note off                0, note 78, velocity 106
129:0   Note on                 0, note 80, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 114, velocity 106
129:0   Note on                 4, note 116, velocity 106
129:0   Note off                0, note 80, velocity 106
129:0   Note on                 0, note 73, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 116, velocity 106
129:0   Note on                 4, note 109, velocity 106
129:0   Note off                6, note 80, velocity 112
129:0   Note off                6, note 68, velocity 112
129:0   Note on                 6, note 79, velocity 112
129:0   Note on                 6, note 67, velocity 112
129:0   Note off                1, note 92, velocity 127
129:0   Note off                1, note 80, velocity 127
129:0   Note off                1, note 68, velocity 127
129:0   Note on                 1, note 91, velocity 70
129:0   Note on                 1, note 79, velocity 70
129:0   Note on                 1, note 67, velocity 70
129:0   Note off                5, note 92, velocity 127
129:0   Note off                5, note 80, velocity 127
129:0   Note on                 5, note 91, velocity 70
129:0   Note on                 5, note 79, velocity 70
129:0   Note off                0, note 73, velocity 106
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                4, note 109, velocity 106
129:0   Note on                 4, note 111, velocity 106
129:0   Note off                0, note 75, velocity 106
129:0   Note on                 0, note 76, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 111, velocity 106
129:0   Note on                 4, note 112, velocity 106
129:0   Note off                0, note 76, velocity 106
129:0   Note on                 0, note 70, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 112, velocity 106
129:0   Note on                 4, note 106, velocity 106
129:0   Note off                6, note 79, velocity 112
129:0   Note off                6, note 67, velocity 112
129:0   Note on                 6, note 76, velocity 112
129:0   Note on                 6, note 64, velocity 112
129:0   Note off                1, note 91, velocity 127
129:0   Note off                1, note 79, velocity 127
129:0   Note off                1, note 67, velocity 127
129:0   Note on                 1, note 88, velocity 70
129:0   Note on                 1, note 76, velocity 70
129:0   Note on                 1, note 64, velocity 70
129:0   Note off                5, note 91, velocity 127
129:0   Note off                5, note 79, velocity 127
129:0   Note on                 5, note 88, velocity 70
129:0   Note on                 5, note 76, velocity 70
129:0   Note off                0, note 70, velocity 106
129:0   Note on                 0, note 74, velocity 88
129:0   Note off                4, note 106, velocity 106
129:0   Note on                 4, note 110, velocity 106
129:0   Note off                0, note 74, velocity 106
129:0   Note on                 0, note 67, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 110, velocity 106
129:0   Note on                 4, note 103, velocity 106
129:0   Note off                0, note 67, velocity 106
129:0   Note on                 0, note 66, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 103, velocity 106
129:0   Note on                 4, note 102, velocity 106
129:0   Note off                6, note 76, velocity 112
129:0   Note off                6, note 64, velocity 112
129:0   Note on                 6, note 85, velocity 112
129:0   Note on                 6, note 73, velocity 112
129:0   Note off                1, note 88, velocity 127
129:0   Note off                1, note 76, velocity 127
129:0   Note off                1, note 64, velocity 127
129:0   Note on                 1, note 97, velocity 70
129:0   Note on                 1, note 85, velocity 70
129:0   Note on                 1, note 73, velocity 70
129:0   Note off                5, note 88, velocity 127
129:0   Note off                5, note 76, velocity 127
129:0   Note on                 5, note 97, velocity 70
129:0   Note on                 5, note 85, velocity 70
129:0   Note off                0, note 66, velocity 106
129:0   Note on                 0, note 71, velocity 88
129:0   Note off                4, note 102, velocity 106
129:0   Note on                 4, note 107, velocity 106
129:0   Note off                0, note 71, velocity 106
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 107, velocity 106
129:0   Note on                 4, note 111, velocity 106
129:0   Note off                0, note 75, velocity 106
129:0   Note on                 0, note 68, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 111, velocity 106
129:0   Note on                 4, note 104, velocity 106
129:0   Note off                6, note 85, velocity 112
129:0   Note off                6, note 73, velocity 112
129:0   Note on                 6, note 87, velocity 112
129:0   Note on                 6, note 75, velocity 112
129:0   Note off                1, note 97, velocity 127
129:0   Note off                1, note 85, velocity 127
129:0   Note off                1, note 73, velocity 127
129:0   Note on                 1, note 99, velocity 70
129:0   Note on                 1, note 87, velocity 70
129:0   Note on                 1, note 75, velocity 70
129:0   Note off                5, note 97, velocity 127
129:0   Note off                5, note 85, velocity 127
129:0   Note on                 5, note 99, velocity 70
129:0   Note on                 5, note 87, velocity 70
129:0   Note off                0, note 68, velocity 106
129:0   Note on                 0, note 73, velocity 88
129:0   Note off                4, note 104, velocity 106
129:0   Note on                 4, note 109, velocity 106
129:0   Note off                0, note 73, velocity 106
129:0   Note on                 0, note 77, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 109, velocity 106
129:0   Note on                 4, note 113, velocity 106
129:0   Note off                0, note 77, velocity 106
129:0   Note on                 0, note 70, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 113, velocity 106
129:0   Note on                 4, note 106, velocity 106
129:0   Note off                0, note 70, velocity 106
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                4, note 106, velocity 106
129:0   Note on                 4, note 111, velocity 106
129:0   Note off                0, note 75, velocity 106
129:0   Note on                 0, note 79, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 111, velocity 106
129:0   Note on                 4, note 115, velocity 106
129:0   Note off                0, note 79, velocity 106
129:0   Note on                 0, note 72, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 115, velocity 106
129:0   Note on                 4, note 108, velocity 106
129:0   Note off                0, note 72, velocity 106
129:0   Note on                 0, note 77, velocity 88
129:0   Note off                4, note 108, velocity 106
129:0   Note on                 4, note 113, velocity 106
129:0   Note off                0, note 77, velocity 106
129:0   Note on                 0, note 81, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 113, velocity 106
129:0   Note on                 4, note 117, velocity 106
129:0   Note off                0, note 81, velocity 106
129:0   Note on                 0, note 76, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 117, velocity 106
129:0   Note on                 4, note 112, velocity 106
129:0   Note off                0, note 76, velocity 106
129:0   Note on                 0, note 81, velocity 88
129:0   Note off                4, note 112, velocity 106
129:0   Note on                 4, note 117, velocity 106
129:0   Note off                0, note 81, velocity 106
129:0   Note on                 0, note 85, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 117, velocity 106
129:0   Note on                 4, note 121, velocity 106
129:0   Note off                0, note 85, velocity 106
129:0   Note on                 0, note 76, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 121, velocity 106
129:0   Note on                 4, note 112, velocity 106
129:0   Note off                0, note 76, velocity 106
129:0   Note on                 0, note 80, velocity 88
129:0   Note off                4, note 112, velocity 106
129:0   Note on                 4, note 116, velocity 106
129:0   Note off                0, note 80, velocity 106
129:0   Note on                 0, note 69, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 116, velocity 106
129:0   Note on                 4, note 105, velocity 106
129:0   Note off                0, note 69, velocity 106
129:0   Note on                 0, note 70, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 105, velocity 106
129:0   Note on                 4, note 106, velocity 106
129:0   Note off                0, note 70, velocity 106
129:0   Note on                 0, note 78, velocity 88
129:0   Note off                4, note 106, velocity 106
129:0   Note on                 4, note 114, velocity 106
129:0   Note off                6, note 75, velocity 112
129:0   Note off                6, note 87, velocity 112
129:0   Note off                1, note 75, velocity 127
129:0   Note off                1, note 87, velocity 127
129:0   Note off                1, note 99, velocity 127
129:0   Note off                5, note 87, velocity 127
129:0   Note off                5, note 99, velocity 127
129:0   Note off                0, note 78, velocity 106
129:0   Note on                 0, note 79, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 114, velocity 106
129:0   Note on                 4, note 115, velocity 106
129:0   Note off                0, note 79, velocity 106
129:0   Note on                 0, note 68, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 115, velocity 106
129:0   Note on                 4, note 104, velocity 106
129:0   Note on                 6, note 91, velocity 112
129:0   Note on                 6, note 79, velocity 112
129:0   Note on                 1, note 103, velocity 72
129:0   Note on                 1, note 91, velocity 72
129:0   Note on                 1, note 79, velocity 72
129:0   Note on                 5, note 103, velocity 72
129:0   Note on                 5, note 91, velocity 72
129:0   Note off                0, note 68, velocity 106
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                4, note 104, velocity 106
129:0   Note on                 4, note 111, velocity 106
129:0   Note off                0, note 75, velocity 106
129:0   Note on                 0, note 76, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 111, velocity 106
129:0   Note on                 4, note 112, velocity 106
129:0   Note off                0, note 76, velocity 106
129:0   Note on                 0, note 69, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 112, velocity 106
129:0   Note on                 4, note 105, velocity 106
129:0   Note off                6, note 91, velocity 112
129:0   Note off                6, note 79, velocity 112
129:0   Note on                 6, note 88, velocity 112
129:0   Note on                 6, note 76, velocity 112
129:0   Note off                1, note 103, velocity 127
129:0   Note off                1, note 91, velocity 127
129:0   Note off                1, note 79, velocity 127
129:0   Note on                 1, note 100, velocity 72
129:0   Note on                 1, note 88, velocity 72
129:0   Note on                 1, note 76, velocity 72
129:0   Note off                5, note 103, velocity 127
129:0   Note off                5, note 91, velocity 127
129:0   Note on                 5, note 100, velocity 72
129:0   Note on                 5, note 88, velocity 72
129:0   Note off                0, note 69, velocity 106
129:0   Note on                 0, note 74, velocity 88
129:0   Note off                4, note 105, velocity 106
129:0   Note on                 4, note 110, velocity 106
129:0   Note off                0, note 74, velocity 106
129:0   Note on                 0, note 79, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 110, velocity 106
129:0   Note on                 4, note 115, velocity 106
129:0   Note off                0, note 79, velocity 106
129:0   Note on                 0, note 66, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 115, velocity 106
129:0   Note on                 4, note 102, velocity 106
129:0   Note off                6, note 88, velocity 112
129:0   Note off                6, note 76, velocity 112
129:0   Note on                 6, note 87, velocity 112
129:0   Note on                 6, note 75, velocity 112
129:0   Note off                1, note 100, velocity 127
129:0   Note off                1, note 88, velocity 127
129:0   Note off                1, note 76, velocity 127
129:0   Note on                 1, note 99, velocity 72
129:0   Note on                 1, note 87, velocity 72
129:0   Note on                 1, note 75, velocity 72
129:0   Note off                5, note 100, velocity 127
129:0   Note off                5, note 88, velocity 127
129:0   Note on                 5, note 99, velocity 72
129:0   Note on                 5, note 87, velocity 72
129:0   Note off                0, note 66, velocity 106
129:0   Note on                 0, note 71, velocity 88
129:0   Note off                4, note 102, velocity 106
129:0   Note on                 4, note 107, velocity 106
129:0   Note off                0, note 71, velocity 106
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 107, velocity 106
129:0   Note on                 4, note 111, velocity 106
129:0   Note off                0, note 75, velocity 106
129:0   Note on                 0, note 68, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 111, velocity 106
129:0   Note on                 4, note 104, velocity 106
129:0   Note off                6, note 87, velocity 112
129:0   Note off                6, note 75, velocity 112
129:0   Note on                 6, note 81, velocity 112
129:0   Note on                 6, note 69, velocity 112
129:0   Note off                1, note 99, velocity 127
129:0   Note off                1, note 87, velocity 127
129:0   Note off                1, note 75, velocity 127
129:0   Note on                 1, note 93, velocity 72
129:0   Note on                 1, note 81, velocity 72
129:0   Note on                 1, note 69, velocity 72
129:0   Note off                5, note 99, velocity 127
129:0   Note off                5, note 87, velocity 127
129:0   Note on                 5, note 93, velocity 72
129:0   Note on                 5, note 81, velocity 72
129:0   Note off                0, note 68, velocity 106
129:0   Note on                 0, note 73, velocity 88
129:0   Note off                4, note 104, velocity 106
129:0   Note on                 4, note 109, velocity 106
129:0   Note off                0, note 73, velocity 106
129:0   Note on                 0, note 77, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 109, velocity 106
129:0   Note on                 4, note 113, velocity 106
129:0   Note off                0, note 77, velocity 106
129:0   Note on                 0, note 70, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 113, velocity 106
129:0   Note on                 4, note 106, velocity 106
129:0   Note off                6, note 81, velocity 112
129:0   Note off                6, note 69, velocity 112
129:0   Note on                 6, note 80, velocity 112
129:0   Note on                 6, note 68, velocity 112
129:0   Note off                1, note 93, velocity 127
129:0   Note off                1, note 81, velocity 127
129:0   Note off                1, note 69, velocity 127
129:0   Note on                 1, note 92, velocity 72
129:0   Note on                 1, note 80, velocity 72
129:0   Note on                 1, note 68, velocity 72
129:0   Note off                5, note 93, velocity 127
129:0   Note off                5, note 81, velocity 127
129:0   Note on                 5, note 92, velocity 72
129:0   Note on                 5, note 80, velocity 72
129:0   Note off                0, note 70, velocity 106
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                4, note 106, velocity 106
129:0   Note on                 4, note 111, velocity 106
129:0   Note off                0, note 75, velocity 106
129:0   Note on                 0, note 79, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 111, velocity 106
129:0   Note on                 4, note 115, velocity 106
129:0   Note off                0, note 79, velocity 106
129:0   Note on                 0, note 72, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 115, velocity 106
129:0   Note on                 4, note 108, velocity 106
129:0   Note off                6, note 80, velocity 112
129:0   Note off                6, note 68, velocity 112
129:0   Note on                 6, note 79, velocity 112
129:0   Note on                 6, note 67, velocity 112
129:0   Note off                1, note 92, velocity 127
129:0   Note off                1, note 80, velocity 127
129:0   Note off                1, note 68, velocity 127
129:0   Note on                 1, note 91, velocity 74
129:0   Note on                 1, note 79, velocity 74
129:0   Note on                 1, note 67, velocity 74
129:0   Note off                5, note 92, velocity 127
129:0   Note off                5, note 80, velocity 127
129:0   Note on                 5, note 91, velocity 74
129:0   Note on                 5, note 79, velocity 74
129:0   Note off                0, note 72, velocity 106
129:0   Note on                 0, note 77, velocity 88
129:0   Note off                4, note 108, velocity 106
129:0   Note on                 4, note 113, velocity 106
129:0   Note off                0, note 77, velocity 106
129:0   Note on                 0, note 81, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 113, velocity 106
129:0   Note on                 4, note 117, velocity 106
129:0   Note off                0, note 81, velocity 106
129:0   Note on                 0, note 76, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 117, velocity 106
129:0   Note on                 4, note 112, velocity 106
129:0   Note off                6, note 79, velocity 112
129:0   Note off                6, note 67, velocity 112
129:0   Note on                 6, note 76, velocity 112
129:0   Note on                 6, note 64, velocity 112
129:0   Note off                1, note 91, velocity 127
129:0   Note off                1, note 79, velocity 127
129:0   Note off                1, note 67, velocity 127
129:0   Note on                 1, note 88, velocity 74
129:0   Note on                 1, note 76, velocity 74
129:0   Note on                 1, note 64, velocity 74
129:0   Note off                5, note 91, velocity 127
129:0   Note off                5, note 79, velocity 127
129:0   Note on                 5, note 88, velocity 74
129:0   Note on                 5, note 76, velocity 74
129:0   Note off                0, note 76, velocity 106
129:0   Note on                 0, note 81, velocity 88
129:0   Note off                4, note 112, velocity 106
129:0   Note on                 4, note 117, velocity 106
129:0   Note off                0, note 81, velocity 106
129:0   Note on                 0, note 85, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 117, velocity 106
129:0   Note on                 4, note 121, velocity 106
129:0   Note off                0, note 85, velocity 106
129:0   Note on                 0, note 79, velocity 88
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 121, velocity 106
129:0   Note on                 4, note 115, velocity 106
129:0   Note off                6, note 76, velocity 112
129:0   Note off                6, note 64, velocity 112
129:0   Note on                 6, note 85, velocity 112
129:0   Note on                 6, note 73, velocity 112
129:0   Note off                1, note 88, velocity 127
129:0   Note off                1, note 76, velocity 127
129:0   Note off                1, note 64, velocity 127
129:0   Note on                 1, note 97, velocity 74
129:0   Note on                 1, note 85, velocity 74
129:0   Note on                 1, note 73, velocity 74
129:0   Note off                5, note 88, velocity 127
129:0   Note off                5, note 76, velocity 127
129:0   Note on                 5, note 97, velocity 74
129:0   Note on                 5, note 85, velocity 74
129:0   Note off                0, note 79, velocity 106
129:0   Note on                 0, note 80, velocity 88
129:0   Note off                4, note 115, velocity 106
129:0   Note on                 4, note 115, velocity 106
129:0   Note off                0, note 80, velocity 106
129:0   Note on                 0, note 81, velocity 88
129:0   Note off                1, note 37, velocity 110
129:0   Note off                2, note 37, velocity 106
129:0   Note off                3, note 37, velocity 110
129:0   Note off                4, note 115, velocity 106
129:0   Note on                 4, note 117, velocity 106
129:0   Note off                0, note 81, velocity 106
129:0   Note on                 1, note 37, velocity 110
129:0   Note on                 2, note 37, velocity 106
129:0   Note on                 3, note 37, velocity 110
129:0   Note off                4, note 117, velocity 106
129:0   Note on                 4, note 106, velocity 106
129:0   Note off                6, note 85, velocity 112
129:0   Note off                6, note 73, velocity 112
129:0   Note on                 6, note 87, velocity 112
129:0   Note on                 6, note 75, velocity 112
129:0   Note off                1, note 97, velocity 127
129:0   Note off                1, note 85, velocity 127
129:0   Note off                1, note 73, velocity 127
129:0   Note on                 1, note 99, velocity 74
129:0   Note on                 1, note 87, velocity 74
129:0   Note on                 1, note 75, velocity 74
129:0   Note off                5, note 97, velocity 127
129:0   Note off                5, note 85, velocity 127
129:0   Note on                 5, note 99, velocity 74
129:0   Note on                 5, note 87, velocity 74
129:0   Note off                4, note 106, velocity 106
129:0   Note on                 4, note 114, velocity 106
129:0   Note off                4, note 114, velocity 106
129:0   Note on                 4, note 116, velocity 106
129:0   Note off                4, note 116, velocity 106
129:0   Note on                 4, note 109, velocity 106
129:0   Note off                4, note 109, velocity 106
129:0   Note on                 4, note 111, velocity 106
129:0   Note off                4, note 111, velocity 106
129:0   Note on                 4, note 112, velocity 106
129:0   Note off                4, note 112, velocity 106
129:0   Note on                 4, note 106, velocity 106
129:0   Note off                4, note 106, velocity 106
129:0   Note on                 4, note 110, velocity 106
129:0   Note off                4, note 110, velocity 106
129:0   Note on                 4, note 103, velocity 106
129:0   Note off                4, note 103, velocity 106
129:0   Note on                 4, note 102, velocity 106
129:0   Note off                4, note 102, velocity 106
129:0   Note on                 4, note 107, velocity 106
129:0   Note off                4, note 107, velocity 106
129:0   Note on                 4, note 111, velocity 106
129:0   Note off                4, note 111, velocity 106
129:0   Note on                 4, note 104, velocity 106
129:0   Note off                4, note 104, velocity 106
129:0   Note on                 4, note 109, velocity 106
129:0   Note off                4, note 109, velocity 106
129:0   Note on                 4, note 113, velocity 106
129:0   Note off                4, note 113, velocity 106
129:0   Note on                 4, note 106, velocity 106
129:0   Note off                4, note 106, velocity 106
129:0   Note on                 4, note 111, velocity 106
129:0   Note off                6, note 75, velocity 112
129:0   Note off                6, note 87, velocity 112
129:0   Note off                1, note 75, velocity 127
129:0   Note off                1, note 87, velocity 127
129:0   Note off                1, note 99, velocity 127
129:0   Note off                5, note 87, velocity 127
129:0   Note off                5, note 99, velocity 127
129:0   Note off                4, note 111, velocity 106
129:0   Note on                 4, note 115, velocity 106
129:0   Note off                4, note 115, velocity 106
129:0   Note on                 4, note 108, velocity 106
129:0   Note on                 6, note 91, velocity 112
129:0   Note on                 6, note 79, velocity 112
129:0   Note on                 1, note 103, velocity 76
129:0   Note on                 1, note 91, velocity 76
129:0   Note on                 1, note 79, velocity 76
129:0   Note on                 5, note 103, velocity 76
129:0   Note on                 5, note 91, velocity 76
129:0   Note off                4, note 108, velocity 106
129:0   Note on                 4, note 113, velocity 106
129:0   Note off                4, note 113, velocity 106
129:0   Note on                 4, note 117, velocity 106
129:0   Note off                4, note 117, velocity 106
129:0   Note on                 4, note 112, velocity 106
129:0   Note off                6, note 91, velocity 112
129:0   Note off                6, note 79, velocity 112
129:0   Note on                 6, note 88, velocity 112
129:0   Note on                 6, note 76, velocity 112
129:0   Note off                1, note 103, velocity 127
129:0   Note off                1, note 91, velocity 127
